# file: 12CO_LB_regrid_LSRK_spw0.ms
# From plot 0
# x y chan scan field ant1 ant2 ant1name ant2name time freq spw poln obs
# U V None None None None None None None MJD(seconds) GHz None None None
-761.939 -933.989 25 7 0 3 27 DA44@A120 DV08@A087 5208536043.696 345.802779618 0 YY 0
-353.15 -1043.72 26 7 0 3 28 DA44@A120 DV09@A073 5208536043.696 345.803756303 0 XX 0
-564.37 -1027.19 27 7 0 3 29 DA44@A120 DV10@A043 5208536043.696 345.804732988 0 YY 0
-552.705 -1091.71 28 7 0 3 30 DA44@A120 DV11@A007 5208536043.696 345.805709672 0 XX 0
-1545.08 -1460.03 29 7 0 3 31 DA44@A120 DV12@A121 5208536043.696 345.806686357 0 YY 0
-657.208 -956.809 0 7 0 3 32 DA44@A120 DV14@A074 5208536043.696 345.778362496 0 XX 0
-1025.39 -637.489 1 7 0 3 33 DA44@A120 DV15@A105 5208536043.696 345.779339181 0 YY 0
-1146.12 -1212.49 2 7 0 3 34 DA44@A120 DV16@A108 5208536043.696 345.780315866 0 XX 0
-1124.34 -1780.95 3 7 0 3 35 DA44@A120 DV17@A116 5208536043.696 345.781292551 0 YY 0
-647.599 -1040.87 4 7 0 3 36 DA44@A120 DV18@A070 5208536043.696 345.782269236 0 XX 0
30.4751 -1211.75 5 7 0 3 37 DA44@A120 DV19@A104 5208536043.696 345.783245921 0 YY 0
-605.045 -1199.09 6 7 0 3 38 DA44@A120 DV20@A072 5208536043.696 345.784222606 0 XX 0
-401.029 -1123.13 7 7 0 3 39 DA44@A120 DV21@A068 5208536043.696 345.785199290 0 YY 0
-429.146 -1350.51 8 7 0 3 40 DA44@A120 DV22@A088 5208536043.696 345.786175975 0 XX 0
-558.606 -929.928 9 7 0 3 41 DA44@A120 DV23@A060 5208536043.696 345.787152660 0 YY 0
-729.786 -1862.43 10 7 0 3 42 DA44@A120 DV24@A111 5208536043.696 345.788129345 0 XX 0
-449.905 -1025.04 11 7 0 3 43 DA44@A120 DV25@A033 5208536043.696 345.789106030 0 YY 0
-1100.32 534.983 12 7 0 4 5 DA46@A122 DA47@A022 5208536043.696 345.790082715 0 XX 0
-1352.43 612.233 13 7 0 4 6 DA46@A122 DA48@A082 5208536043.696 345.791059400 0 YY 0
-1084.58 500.735 14 7 0 4 7 DA46@A122 DA49@A066 5208536043.696 345.792036084 0 XX 0
-1097.74 959.487 15 7 0 4 8 DA46@A122 DA50@A089 5208536043.696 345.793012769 0 YY 0
-1253.84 354.832 16 7 0 4 10 DA46@A122 DA53@A085 5208536043.696 345.793989454 0 XX 0
-1061.5 405.818 17 7 0 4 11 DA46@A122 DA54@A075 5208536043.696 345.794966139 0 YY 0
-1113.49 1150.64 18 7 0 4 12 DA46@A122 DA55@A134 5208536043.696 345.795942824 0 XX 0
-1094.9 712.154 19 7 0 4 13 DA46@A122 DA56@A062 5208536043.696 345.796919509 0 YY 0
-900.951 910.292 20 7 0 4 14 DA46@A122 DA57@A094 5208536043.696 345.797896194 0 XX 0
-1053.9 790.484 21 7 0 4 15 DA46@A122 DA58@A076 5208536043.696 345.798872878 0 YY 0
-1112.1 185.738 22 7 0 4 16 DA46@A122 DA59@A093 5208536043.696 345.799849563 0 XX 0
-1014.97 682.23 23 7 0 4 17 DA46@A122 DA62@A069 5208536043.696 345.800826248 0 YY 0
-1134.71 1527.46 24 7 0 4 18 DA46@A122 DA63@A115 5208536043.696 345.801802933 0 XX 0
-1455.38 1390.94 25 7 0 4 19 DA46@A122 DA64@A110 5208536043.696 345.802779618 0 YY 0
-1102.96 669.009 26 7 0 4 20 DA46@A122 DA65@A045 5208536043.696 345.803756303 0 XX 0
-1077.06 569.734 27 7 0 4 21 DA46@A122 DV02@A024 5208536043.696 345.804732988 0 YY 0
-1069.6 632.009 28 7 0 4 22 DA46@A122 DV03@A027 5208536043.696 345.805709672 0 XX 0
-1160.12 638.528 29 7 0 4 23 DA46@A122 DV04@A042 5208536043.696 345.806686357 0 YY 0
-1351.67 920.076 0 7 0 4 24 DA46@A122 DV05@A092 5208536043.696 345.778362496 0 XX 0
-719.929 269.171 1 7 0 4 25 DA46@A122 DV06@A096 5208536043.696 345.779339181 0 YY 0
-862.343 675.003 2 7 0 4 26 DA46@A122 DV07@A086 5208536043.696 345.780315866 0 XX 0
-1371.66 733.311 3 7 0 4 27 DA46@A122 DV08@A087 5208536043.696 345.781292551 0 YY 0
-962.877 623.583 4 7 0 4 28 DA46@A122 DV09@A073 5208536043.696 345.782269236 0 XX 0
-1174.11 640.106 5 7 0 4 29 DA46@A122 DV10@A043 5208536043.696 345.783245921 0 YY 0
-1162.44 575.589 6 7 0 4 30 DA46@A122 DV11@A007 5208536043.696 345.784222606 0 XX 0
-2154.8 207.265 7 7 0 4 31 DA46@A122 DV12@A121 5208536043.696 345.785199290 0 YY 0
-1266.93 710.493 8 7 0 4 32 DA46@A122 DV14@A074 5208536043.696 345.786175975 0 XX 0
-1635.11 1029.81 9 7 0 4 33 DA46@A122 DV15@A105 5208536043.696 345.787152660 0 YY 0
-1755.86 454.803 10 7 0 4 34 DA46@A122 DV16@A108 5208536043.696 345.788129345 0 XX 0
-1734.07 -113.652 11 7 0 4 35 DA46@A122 DV17@A116 5208536043.696 345.789106030 0 YY 0
-1257.32 626.435 12 7 0 4 36 DA46@A122 DV18@A070 5208536043.696 345.790082715 0 XX 0
-579.254 455.549 13 7 0 4 37 DA46@A122 DV19@A104 5208536043.696 345.791059400 0 YY 0
-1214.76 468.207 14 7 0 4 38 DA46@A122 DV20@A072 5208536043.696 345.792036084 0 XX 0
-1010.76 544.167 15 7 0 4 39 DA46@A122 DV21@A068 5208536043.696 345.793012769 0 YY 0
-1038.87 316.794 16 7 0 4 40 DA46@A122 DV22@A088 5208536043.696 345.793989454 0 XX 0
-1168.34 737.368 17 7 0 4 41 DA46@A122 DV23@A060 5208536043.696 345.794966139 0 YY 0
-1339.5 -195.127 18 7 0 4 42 DA46@A122 DV24@A111 5208536043.696 345.795942824 0 XX 0
-1059.63 642.264 19 7 0 4 43 DA46@A122 DV25@A033 5208536043.696 345.796919509 0 YY 0
-252.124 77.2607 20 7 0 5 6 DA47@A022 DA48@A082 5208536043.696 345.797896194 0 XX 0
15.7331 -34.2432 21 7 0 5 7 DA47@A022 DA49@A066 5208536043.696 345.798872878 0 YY 0
2.57443 424.507 22 7 0 5 8 DA47@A022 DA50@A089 5208536043.696 345.799849563 0 XX 0
-153.525 -180.148 23 7 0 5 10 DA47@A022 DA53@A085 5208536043.696 345.800826248 0 YY 0
38.8068 -129.16 24 7 0 5 11 DA47@A022 DA54@A075 5208536043.696 345.801802933 0 XX 0
-13.1757 615.659 25 7 0 5 12 DA47@A022 DA55@A134 5208536043.696 345.802779618 0 YY 0
5.41379 177.174 26 7 0 5 13 DA47@A022 DA56@A062 5208536043.696 345.803756303 0 XX 0
199.372 375.306 27 7 0 5 14 DA47@A022 DA57@A094 5208536043.696 345.804732988 0 YY 0
46.4193 255.505 28 7 0 5 15 DA47@A022 DA58@A076 5208536043.696 345.805709672 0 XX 0
-11.7895 -349.24 29 7 0 5 16 DA47@A022 DA59@A093 5208536043.696 345.806686357 0 YY 0
85.3404 147.252 0 7 0 5 17 DA47@A022 DA62@A069 5208536043.696 345.778362496 0 XX 0
-34.3907 992.486 1 7 0 5 18 DA47@A022 DA63@A115 5208536043.696 345.779339181 0 YY 0
-355.054 855.955 2 7 0 5 19 DA47@A022 DA64@A110 5208536043.696 345.780315866 0 XX 0
-2.63895 134.026 3 7 0 5 20 DA47@A022 DA65@A045 5208536043.696 345.781292551 0 YY 0
23.2572 34.752 4 7 0 5 21 DA47@A022 DV02@A024 5208536043.696 345.782269236 0 XX 0
30.7182 97.0313 5 7 0 5 22 DA47@A022 DV03@A027 5208536043.696 345.783245921 0 YY 0
-59.8128 103.553 6 7 0 5 23 DA47@A022 DV04@A042 5208536043.696 345.784222606 0 XX 0
-251.357 385.101 7 7 0 5 24 DA47@A022 DV05@A092 5208536043.696 345.785199290 0 YY 0
380.385 -265.811 8 7 0 5 25 DA47@A022 DV06@A096 5208536043.696 345.786175975 0 XX 0
237.976 140.021 9 7 0 5 26 DA47@A022 DV07@A086 5208536043.696 345.787152660 0 YY 0
-271.348 198.332 10 7 0 5 27 DA47@A022 DV08@A087 5208536043.696 345.788129345 0 XX 0
137.437 88.6041 11 7 0 5 28 DA47@A022 DV09@A073 5208536043.696 345.789106030 0 YY 0
-73.796 105.133 12 7 0 5 29 DA47@A022 DV10@A043 5208536043.696 345.790082715 0 XX 0
-62.1258 40.6136 13 7 0 5 30 DA47@A022 DV11@A007 5208536043.696 345.791059400 0 YY 0
-1054.5 -327.708 14 7 0 5 31 DA47@A022 DV12@A121 5208536043.696 345.792036084 0 XX 0
-166.611 175.511 15 7 0 5 32 DA47@A022 DV14@A074 5208536043.696 345.793012769 0 YY 0
-534.795 494.834 16 7 0 5 33 DA47@A022 DV15@A105 5208536043.696 345.793989454 0 XX 0
-655.554 -80.1662 17 7 0 5 34 DA47@A022 DV16@A108 5208536043.696 345.794966139 0 YY 0
-633.776 -648.622 18 7 0 5 35 DA47@A022 DV17@A116 5208536043.696 345.795942824 0 XX 0
-157.008 91.4552 19 7 0 5 36 DA47@A022 DV18@A070 5208536043.696 345.796919509 0 YY 0
521.062 -79.4315 20 7 0 5 37 DA47@A022 DV19@A104 5208536043.696 345.797896194 0 XX 0
-114.449 -66.7754 21 7 0 5 38 DA47@A022 DV20@A072 5208536043.696 345.798872878 0 YY 0
89.5444 9.19402 22 7 0 5 39 DA47@A022 DV21@A068 5208536043.696 345.799849563 0 XX 0
61.4433 -218.187 23 7 0 5 40 DA47@A022 DV22@A088 5208536043.696 345.800826248 0 YY 0
-68.031 202.396 24 7 0 5 41 DA47@A022 DV23@A060 5208536043.696 345.801802933 0 XX 0
-239.199 -730.108 25 7 0 5 42 DA47@A022 DV24@A111 5208536043.696 345.802779618 0 YY 0
40.6807 107.286 26 7 0 5 43 DA47@A022 DV25@A033 5208536043.696 345.803756303 0 XX 0
267.856 -111.503 27 7 0 6 7 DA48@A082 DA49@A066 5208536043.696 345.804732988 0 YY 0
254.693 347.247 28 7 0 6 8 DA48@A082 DA50@A089 5208536043.696 345.805709672 0 XX 0
98.6025 -257.41 29 7 0 6 10 DA48@A082 DA53@A085 5208536043.696 345.806686357 0 YY 0
290.931 -206.419 0 7 0 6 11 DA48@A082 DA54@A075 5208536043.696 345.778362496 0 XX 0
238.94 538.4 1 7 0 6 12 DA48@A082 DA55@A134 5208536043.696 345.779339181 0 YY 0
257.535 99.9138 2 7 0 6 13 DA48@A082 DA56@A062 5208536043.696 345.780315866 0 XX 0
451.489 298.047 3 7 0 6 14 DA48@A082 DA57@A094 5208536043.696 345.781292551 0 YY 0
298.539 178.246 4 7 0 6 15 DA48@A082 DA58@A076 5208536043.696 345.782269236 0 XX 0
240.338 -426.5 5 7 0 6 16 DA48@A082 DA59@A093 5208536043.696 345.783245921 0 YY 0
337.46 69.9938 6 7 0 6 17 DA48@A082 DA62@A069 5208536043.696 345.784222606 0 XX 0
217.72 915.226 7 7 0 6 18 DA48@A082 DA63@A115 5208536043.696 345.785199290 0 YY 0
-102.937 778.692 8 7 0 6 19 DA48@A082 DA64@A110 5208536043.696 345.786175975 0 XX 0
249.483 56.765 9 7 0 6 20 DA48@A082 DA65@A045 5208536043.696 345.787152660 0 YY 0
275.38 -42.5084 10 7 0 6 21 DA48@A082 DV02@A024 5208536043.696 345.788129345 0 XX 0
282.84 19.772 11 7 0 6 22 DA48@A082 DV03@A027 5208536043.696 345.789106030 0 YY 0
192.309 26.2937 12 7 0 6 23 DA48@A082 DV04@A042 5208536043.696 345.790082715 0 XX 0
